n,interpreter,optLnot,optIndexing,optAssi,translateMS,loadMS,analyzeMS
15,SWIProlog,true,true,true,4.1041099999999995,14.129011,0.125885
15,SWIProlog,false,false,false,4.192264,11.798918,11.234731
15,SWIProlog,true,true,true,4.24974,13.535909,0.097675
15,SWIProlog,false,false,false,4.015249,11.4798,9.558037
15,SWIProlog,true,true,true,3.542038,15.36035,0.07933799999999999
16,SWIProlog,false,false,false,2.911559,8.709993,30.014761
16,SWIProlog,true,true,true,4.827679,21.831577000000003,0.10507999999999999
16,SWIProlog,false,false,false,4.114335,14.874443999999999,23.283302
16,SWIProlog,true,true,true,3.874203,15.038058000000001,0.08886
16,SWIProlog,false,false,false,3.290622,13.809187,24.885241
16,SWIProlog,true,true,true,3.5914050000000004,13.437882,0.081454
16,SWIProlog,false,false,false,2.7454769999999997,8.266754,20.971897000000002
16,SWIProlog,true,true,true,4.189442,13.644515,0.081808
16,SWIProlog,false,false,false,3.501134,12.067260000000001,31.142782
16,SWIProlog,true,true,true,4.068848,22.932800999999998,0.087449
17,SWIProlog,false,false,false,3.407691,8.169783,45.07186
17,SWIProlog,true,true,true,3.62455,14.697782,0.076166
17,SWIProlog,false,false,false,2.58574,9.201894,42.351419
17,SWIProlog,true,true,true,4.430985,18.426002,0.122005
17,SWIProlog,false,false,false,2.9845509999999997,9.933574,45.559529000000005
17,SWIProlog,true,true,true,3.851988,15.45062,0.097675
17,SWIProlog,false,false,false,3.17038,8.544263,45.60678
17,SWIProlog,true,true,true,3.5395700000000003,21.185582999999998,0.081454
17,SWIProlog,false,false,false,3.9986770000000003,11.486852,44.118736
17,SWIProlog,true,true,true,5.204275,19.932029999999997,0.135405
18,SWIProlog,false,false,false,3.8280100000000004,10.396913,107.725909
18,SWIProlog,true,true,true,4.452495,24.736789,0.12764799999999998
18,SWIProlog,false,false,false,4.027944,14.183314000000001,92.057019
18,SWIProlog,true,true,true,4.249387,16.459456999999997,0.108254
18,SWIProlog,false,false,false,2.901685,13.653683000000001,119.48639200000001
18,SWIProlog,true,true,true,6.419745,16.419258999999997,0.100143
18,SWIProlog,false,false,false,3.557201,9.0344,89.619378
18,SWIProlog,true,true,true,3.542038,22.335115000000002,0.108253
18,SWIProlog,false,false,false,4.012429,10.872946,105.425083
18,SWIProlog,true,true,true,3.391118,17.118498,0.080749
19,SWIProlog,false,false,false,2.778623,11.191711999999999,213.2261
19,SWIProlog,true,true,true,4.70638,18.380515,0.082865
19,SWIProlog,false,false,false,3.212341,14.168857,181.715538
19,SWIProlog,true,true,true,4.380914,20.294871999999998,0.092738
19,SWIProlog,false,false,false,3.822369,9.978709,172.965347
19,SWIProlog,true,true,true,4.0734319999999995,18.804361,0.084275
19,SWIProlog,false,false,false,2.7285500000000003,8.909220999999999,187.084133
19,SWIProlog,true,true,true,4.0970569999999995,16.660449,0.151625
19,SWIProlog,false,false,false,3.345277,10.836274,175.589522
19,SWIProlog,true,true,true,4.689101,22.758607,0.082865
